file,#,employer-or-party,city-state,status-and-terms,date
"Senate-confirmed/Puzder, Andrew F",1,"CKE Restaurants Holdings, Inc.","Anaheim, California","CKE Restaurants is controlled by CKE Holdings, L.P. (“CKE LP”). I have a partnership interest in CKE LP, in the form of Class A Units and vested and unvested Class B Units. Upon resignation, I will forfeit my unvested Class B Units. CKE LP and one of its subsidiaries, CKE Holding Corporation, Inc. (“CKE CORP”), will purchase my Class A Units and my vested Class B Units. To accomplish this purchase, CKE LP will issue me an amount of CKE CORP stock estimated to be equal in value to my Class A Units and vested Class B Units, based on an internal valuation of the company as of December 31, 2016. CKE CORP will then purchase this CKE CORP stock from me. I will receive full payment from CKE CORP for the purchase of this stock before I assume the duties of the position of Secretary, or I will forfeit any portion of the payment that I have not received and any stock that I continue to hold as of the date I assume the duties of the position of Secretary.",Feb-17
"Senate-confirmed/Puzder, Andrew F",2,"CKE Restaurants Holdings, Inc.","Anaheim, California","Before I assume the duties of the position of Secretary, I will receive my 2016 bonus. I will forfeit this bonus if I do not receive it before I assume the duties of the position of Secretary.",Dec-13
"Senate-confirmed/Puzder, Andrew F",3,"CKE Restaurants Holdings, Inc.","Anaheim, California","Before I assume the duties of the position of Secretary, I will receive outstanding relocation benefits owed to reimburse me for moving to Tennessee in 2016, including costs associated with the sale of my house that was finalized in 2017. I will forfeit any portion of these relocation benefits that I have not received as of the date I assume the duties of the position of Secretary.",Mar-16
"Senate-confirmed/Rosen, Jeffrey A",1,Kirkland & Ellis LLP,"Chicago, Illinois",I will continue to participate in this defined benefit plan. St. Paul Business Trust will assume majority of Kirkland pension obligation at age 61.,Jun-82
"Senate-confirmed/Rosen, Jeffrey A",2,Kirkland & Ellis LLP,"Chicago, Illinois","Following my withdrawal from the firm, I will receive a lump pay out of my cash balance pension plan.",May-09
"Senate-confirmed/Rosen, Jeffrey A",3,Kirkland & Ellis LLP,"Chicago, Illinois","I will participate in this defined contribution plan, but the firm will not make contributions after my separation.",May-09
"Senate-confirmed/Rosen, Jeffrey A",4,Kirkland & Ellis LLP,"Chicago, Illinois",I have an interest in contingency fee cases.  I will forfeit any interest in these contingency fee cases that has not been paid as of 3/15/2017.,May-09
Senate-confirmed/Ross Wilbur L,1,"Invesco, Ltd.","Atlanta, Georgia","I received restricted shares of stock as part of my compensation at Invesco.  Generally, those restricted shares vest in equal tranches over a four-year period after the date on which they were granted, but Invesco has a policy of vesting all outstanding unvested shares upon a friendly termination.  My termination is considered friendly, so my outstanding unvested shares will vest once I resign from Invesco.",Feb-13
Senate-confirmed/Ross Wilbur L,2,"WLR Recovery Associates II, LLC","New York, New York","I am Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Mar-02
Senate-confirmed/Ross Wilbur L,3,"WLR Recovery Associates III, LLC","New York, New York","WL Ross Group LP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Aug-05
Senate-confirmed/Ross Wilbur L,4,"WLR Recovery Associates IV, LLC","New York, New York","WL Ross Group LP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Nov-07
Senate-confirmed/Ross Wilbur L,5,"Exco Resources, Inc.","Dallas, Texas",Restricted stock arrangement for Directors in which restricted shares vest on the one-year anniversary after the date on which they were granted. Approximately half of my outstanding unvested Exco shares vested in late December 2016 and the rest will vest at the end of 2017.,Dec-15
Senate-confirmed/Ross Wilbur L,6,"WLR Recovery Associates V, LLC","New York, New York","WL Ross Group LP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Feb-11
Senate-confirmed/Ross Wilbur L,7,Starboard GP Ltd.,"New York, New York","I serve as Director of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Oct-13
Senate-confirmed/Ross Wilbur L,8,WLR Select Associates LLC,"New York, New York","WL Ross Group serves as Managing Member of this entity, which serves as General Partner of an underlying fund. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Dec-10
Senate-confirmed/Ross Wilbur L,9,WLR/IVZ Mortgage Recovery Associates LLC,"New York, New York","WL Ross Group LP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Oct-09
Senate-confirmed/Ross Wilbur L,10,"WLR Mezzanine Associates, LLC","New York, New York","WL Ross Group serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",May-15
Senate-confirmed/Ross Wilbur L,11,India Asset Recovery Associates LLC,"New York, New York","I serve as the managing member of this entity, which holds an interest in India Asset Recovery GP, Ltd. That entity holds a carried interest in the India Asset Recovery Fund as its general partner. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Feb-06
Senate-confirmed/Ross Wilbur L,12,"Asia Recovery Associates, L.P.","New York, New York","WL Ross Group LP serves as sole member of WL Ross GP LLC, which serves as General Partner of Asia Recovery Associates LP. The General Partner is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Apr-05
Senate-confirmed/Ross Wilbur L,13,"WLR China Energy Infrastructure Fund, L.P.","New York, New York","WL Ross Group LP is a shareholder in WL Ross Group (Cayman) Ltd, which indirectly holds an interest in the general partner of WLR China Energy Infrastructure Fund, L.P.. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Feb-08
Senate-confirmed/Ross Wilbur L,14,WLR Conduit MM LLC,"New York, New York","I have different arrangements for the various underlying assets. For the Shellpoint investment, I receive an 8% preferential return, plus a 10% carried interest. For the Subsequent Platform Company asset, I receive s 20% carried interest. For the energy bonds, I receive an index amount, plus a 15% carried interest.",Jan-10
Senate-confirmed/Ross Wilbur L,15,Rothschild Profit Sharing Plan,"New York, New York","I receive approximately $1,000 per year in distributions from this plan. Within 90 days of confirmation, I will irrevocably assign the rights to these payments to a public charity prior to my assuming the duties of the position of Secretary.",/1976
Senate-confirmed/Ross Wilbur L,16,"Ross CG Associates, LP","New York, New York","Ross CG GP LLC serves as General Partner of this entity, which in turn serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Mar-05
Senate-confirmed/Ross Wilbur L,17,"Ross CG Cypress Associates, LP","New York, New York","Ross CG GP LLC serves as General Partner of this entity, which in turn serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Apr-08
Senate-confirmed/Ross Wilbur L,18,"Ross CG Pearl Associates, LP","New York, New York","Ross CG GP LLC serves as General Partner of this entity, which in turn serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Aug-07
Senate-confirmed/Ross Wilbur L,19,Ross Expansion FLP L.P.,"New York, New York","I serve as General Partner of this entity, which in turn serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Dec-05
Senate-confirmed/Ross Wilbur L,20,WLR Nanotechnology GP LLC,"New York, New York","I serve as Managing Member of this entity, which in turn serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Jan-06
Senate-confirmed/Ross Wilbur L,21,WLR Recovery Associates LLC,"New York, New York","WL Ross Group LLP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Oct-97
Senate-confirmed/Ross Wilbur L,22,WLR Recovery Associates IV DSS LP (Cayman),", Outside U.S.","I am a shareholder in the General Partner of this entity, which in turn serves as a General Partner of a fund. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Nov-11
Senate-confirmed/Ross Wilbur L,23,WLR Recovery Associates V DSS LP (Cayman),", Outside U.S.","I am a shareholder in the General Partner of this entity, which in turn serves as a General Partner of a fund. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Feb-11
Senate-confirmed/Ross Wilbur L,24,"WLR Select Associates DSS, L.P. (Cayman)",", Outside U.S.","I am a shareholder in the General Partner of this entity, which in turn serves as a General Partner of a fund. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Dec-10
Senate-confirmed/Ross Wilbur L,25,WLR Master Co-Investment SLP GP Ltd. (Cayman),", Outside U.S.",This entity is the General Partner of a partnership holding a carried interest in the WLR/GS Master Co- Investment L.P. fund.,Aug-11
Senate-confirmed/Ross Wilbur L,26,"Invesco, Ltd.","Atlanta, Georgia",I will receive a discretionary performance-based bonus for services rendered in 2016. This bonus will be paid prior to my assuming the duties of the position of Secretary.,Oct-06
Senate-confirmed/Ross Wilbur L,27,Invesco Ltd.,"Atlanta, Georgia",I participate in Invesco's 401k plan. I will cash out of this plan within 90 days of my confirmation.,Oct-06
Senate-confirmed/Ross Wilbur L,28,Invesco Mortgage Recovery Master Associates II,"New York, New York","I serve as the managing member of WLR IMRF II Associates LLC, which invests in Invesco Mortgage Recovery Associates II LLC. Invesco Mortgage Recovery Associates II LLC serves as General Partner (""GP"") of Invesco Mortgage Recovery Fund II, L.P. and Invesco Mortgage Recovery Fund II Co-Invest ITAL, L.P. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Apr-16
Senate-confirmed/Ross Wilbur L,29,"WLR Master Co-Investment SLP Associates, L.P. (Cayman)",", Outside U.S.","WL Ross Group LP is an investor in WLR Master Co- Investment SLP Associates, L.P. (Cayman), which is the general partner of WLR/GS Master Co-Investment L.P. (Cayman). The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Apr-11
"Senate-confirmed/Shulkin, David J",1,Hutchinson Biofilm Medical Solutions Ltd,"Radnor, Pennsylvania","For my work as an advisory board member prior to my appointment to a position at VA, my agreement with the company grants me stock options equal to .17% of the company once the options are issued.",Jun-15
"Senate-confirmed/Shulkin, David J",2,SpectraMD,"East Windsor, New Jersey","Will retain vested stock options awarded prior to the start of my work at VA.  40,000 shares at $0.01.",Apr-12
"Senate-confirmed/Shulkin, David J",3,"Control Rad, Inc","Radnor, Pennsylvania","Will retain stock and vested stock options awarded prior to the start of my work at VA.  56,647 stock options, $0.06/share; fully vested, expiration 11/1/22.",Apr-13
"Senate-confirmed/Shulkin, David J",4,Atlantic Health System 403 B Holdings,"Morristown, New Jersey","I maintain this account but no further contributions have been made to it following my resignation from Atlantic Heath System on July 2, 2015.",Jan-10
"Senate-confirmed/Shulkin, David J",5,Electrocore Inc,"Morris Plaints, New Jersey","Will retain vested stock options awarded prior to the start of my work at VA. 5,000 units at $2.75/unit.",May-12
"Senate-confirmed/Shulkin, David J",6,"ImaCor, Inc.","Garden City, New York","Will retain vested stock options awarded prior to the start of my work at VA.  30,000 shares at $0.03 that were granted 7/11/12. Fifty percent vested on 7/11/14, 25% 7/11/15 and 25% 7/11/16. Ten year expiration.",Jul-12
"Senate-confirmed/Sullivan, John J",1,Mayer Brown LLP,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Feb-12
"Senate-confirmed/Tillerson, Rex W",1,ExxonMobil Corporation,"Irving, Texas",I participate in ExxonMobil benefit programs.  These programs are discussed in the endnote to this item.,Jun-75
"Senate-confirmed/Wilson, Heather A",1,Raven Industries,"Sioux Falls, South Dakota",Restricted stock units are vested.  All restricted stock units will be distributed to me 60 days after I leave the Board of Raven in the form of shares of common stock of the company consistent with the company's policy for all Board members.,Feb-16
"Senate-confirmed/Wilson, Heather A",2,South Dakota Retirement System (State of South Dakota) Supplemental Retirement Plan,"Pierre, South Dakota",I may continue to participate in this defined contribution plan upon separation. The plan sponsor will not make further contributions after my separation.,Dec-15
"Senate-confirmed/Wilson, Heather A",3,South Dakota Retirement System (State of South Dakota) Defined Benefit,"Pierre, South Dakota","I am vested in the SD State employee retirement plan and, under current SD statute, will receive about $4,699 per month beginning at age 65.",Jun-13
"U.S. Trade and Development Agency/Gentry, Randall",1,State of Indiana,"Indianapolis, Indiana","I will continue to participate in the employee benefits plan but will not make any additional contributions. Upon retirement, I will receive payments from this plan.",May-05
"White House/Agen, Jarrod P",1,State of Michigan Defined Contribution Plan,"Lansing, Michigan",I will continue to participate in this defined contribution plan. The plan sponsor no longer makes contributions.,Jan-14
"White House/Agen, Jarrod P",2,Empowered Careers 401k,"Los Gatos, California",I will continue to participate in this defined contribution plan. The plan sponsor no longer makes contributions.,Jul-11
"White House/Ambrosini, Michael J",1,Republican National Committee,"Washington , District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Feb-15
"White House/Angelson, Alexander J",1,Republican National Committee,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Oct-16
"White House/Anton, Michael",1,BlackRock,"New York, New York","Pursuant to standard company policy, an annual year-end performance bonus for the work-year 2016 will be paid in February 2017.",Oct-15
"White House/Anton, Michael",2,BlackRock,"New York, New York",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Oct-15
"White House/Bannon, Steve",1,"GLITTERING STEEL, LLC","ARLINGTON, Virginia","CHAIRMAN.  RECEIVED A MONTHLY CONSULTING FEE INTO BANNON STRATEGIC ADVISORS, INC. UNTIL RESIGNATION ON AUGUST 16, 2016.",Jun-14
"White House/Bannon, Steve",2,"CAMBRIDGE ANALYTICA, LLC","WASHINGTON, District of Columbia","VICE-PRESIDENT AND SECRETARY.  RECEIVED A MONTHLY CONSULTING FEE INTO BANNON STRATEGIC ADVISORS, INC. UNTIL RESIGNATION ON AUGUST 16, 2016.",Jun-15
"White House/Bannon, Steve",3,"GOVERNMENT ACCOUNTABILITY INSTITUTE, INC.","TALLAHASSEE, Florida","EMPLOYED AS CHAIRMAN OF THE 501(C)(3) UNTIL AUGUST 16,  2016 WHEN A LEAVE OF ABSENCE BEGAN UPON APPOINTMENT AS THE CAMPAIGN CHIEF FOR PRESIDENT ELECT DONALD J. TRUMP.",Mar-12
"White House/Bannon, Steve",4,"BREITBART NEWS NETWORK, LLC","LOS ANGELES, California","EXECUTIVE CHAIRMAN.  RECEIVED A MONTHLY CONSULTING FEE INTO BANNON STRATEGIC ADVISORS, INC. UNTIL RESIGNATION ON AUGUST 16, 2016.",Jan-12
"White House/Bannon, Steve",5,"BANNON STRATEGIC ADVISORS, INC.","LOS ANGELES, California",EMPLOYED AS PRESIDENT OF SOLELY OWNED CORPORATION TO PROVIDE CONSULTING AND ADVISORY SERVICES TO A VARIETY OF COMPANIES.,Jun-05
"White House/Bannon, Steve",6,"BANNON FILM INDUSTRIES, INC.","LOS ANGELES, California",EMPLOYED AS PRESIDENT OF SOLELY OWNED CORPORATION TO ENTERTAINMENT AND MEDIA RELATED SERVICES TO A VARIETY OF COMPANIES.,Nov-90
"White House/Bash, Zina G ",1,Doctors Hospital at Renaissance 401k,"Edinburg, Texas",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Aug-16
"White House/Blase, Brian C",1,State of Virginia,"Richmond, Virginia",I will continue to participate in this defined benefit plan.,Aug-04
"White House/Burnham, James M",1,Jones Day,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Oct-10
"White House/Cairncross, Sean",1,Holtzman Vogel Josefiak Torchinsky,"Warrenton, Virginia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jul-16
"White House/Carroll, James W ",1,Ford Motor Co.,"Washington, District of Columbia",I will continue to participate in two defined contribution plans. Neither I nor my employer will contribute to the plan following seperation.,Jan-06
"White House/Carroll, James W ",2,Widener University,"Chester, Pennsylvania",I will no longer serve as an adjunct professor while in Government service.,Jan-17
"White House/Carroll, James W ",3,Alexandria Floral Co.,"Alexandria, Virginia","I will retain my unpaid position as Vice President of this Closely Held Corporation. I will do no work for this organization while in the Federal Government. I will recieve no earned or unearned income. If the type of buisness changes, I have agreed to notify the White House Counsel's Office.",Mar-17
"White House/Castillo, Andeliz N",1,Libre Initiative 401(k),"Arlington, Virginia",I will continue to particpate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Apr-12
"White House/Castillo, Andeliz N",2,Americans For Prosperity,"Arlington, Virginia","Continuation of healthcare benefit through January 31, 2017",Jan-17
"White House/Catanzaro, Michael J",1,cgcn group,"washington, District of Columbia","I will continue to participate in this defined contribution, the plan sponsor will not make further contributions after my separation.",Jul-16
"White House/Catanzaro, Michael J",2,cgcn group,"washington, District of Columbia",I will continue to participate in this plan. Neither I nor my former employer has or will contribute to the plan following my separation,Jul-16
"White House/Catanzaro, Michael J",3,FTI Consulting,"Washington, District of Columbia","I will continue to participate in this defined contribution, neither I nor the plan sponsor will make further contributions after my separation.",Jan-13
"White House/Catanzaro, Michael J",4,PPL Corporation,"Allentown, Pennsylvania","I will continue to participate in this defined contribution, neither I nor the plan sponsor will make further contributions after my separation.",Jun-07
"White House/Cheung, Steven N ",1,Ultimate Fighting Championship,"Las Vegas, Nevada","Pursuant to my employment agreement, I received a lump sum severance payment within 30 days of my separation from the firm. I will receive no other payment or benefit from this firm.",Feb-16
"White House/Cohn, Gary",1,"The Goldman Sachs Group, Inc.","New York, New York","Restricted Stock Units (RSUs) and Restricted Shares - I received RSUs as part of my Goldman Sachs year-end compensation for each of 2013 - 2015.  Pursuant to their terms, these awards are scheduled to be settled in stock in January of 2017 - 2019 and are not subject to a service-based vesting requirement (awards were fully vested at grant).  In general, the shares I am scheduled to receive in connection with these RSUs, (as well as the shares delivered pursuant to my 2011 and 2012 RSU awards (in each case after applicable tax withholding), are Restricted Shares, which are subject to restrictions on transfer until approximately 5 years after the RSUs were granted.  The awards specifically provide for accelerated settlement of the RSUs and lifting of the transfer restrictions on the Restricted Shares upon my entering into certain types of “conflicted employment,” which is expected to include taking a position in the Executive Branch.",Jan-14
"White House/Cohn, Gary",2,"The Goldman Sachs Group, Inc.","New York, New York","Performance-Based Restricted Stock Units - I was granted performance-based restricted stock units as part of my Goldman Sachs year-end compensation for each of 2014 - 2015.  Pursuant to their terms, these awards are scheduled to be settled in cash in January of 2017 - 2019 based on certain firm performance metrics (based on the firm’s return on equity) over the applicable performance period.  The awards are not subject to a service-based vesting requirement (awards were fully vested at grant).  The firm has not indicated whether it will accelerate any payments under these performance-based restricted stock units.",Jan-14
"White House/Cohn, Gary",3,"The Goldman Sachs Group, Inc.","New York, New York","Stock Options - I received Goldman Sachs stock options as part of my year-end compensation for 2007.  These options, which are fully vested, became exercisable in December 2010, have an exercise price of $204.16, and expire on 24 November 2017.",Dec-07
"White House/Cohn, Gary",4,"The Goldman Sachs Group, Inc.","New York, New York",Long-Term Performance Incentive Plan - I was granted long term incentive compensation awards under the Goldman Sachs Long-Term Performance Incentive Plan in each of 2011 - 2016.  These awards are scheduled to be paid out in cash in January of 2019 - 2022 based on certain firm performance metrics (based on the firm’s return on equity and book value per share) over the applicable performance period.  The awards are not subject to a service-based vesting requirement (awards were fully vested at grant).  The firm has not indicated whether it will accelerate any payments under these awards.,Jan-11
"White House/Cohn, Gary",5,"The Goldman Sachs Group, Inc.","New York, New York","Non-Qualified Deferred Compensation Plan (NQDC)  – Prior to 2008, Goldman Sachs’ NQDC plan allowed employees to make a partial deferral of one's cash bonus.  As such, all NQDC contributions are fully vested; no future services are required for me to be entitled to receive the full value of the account. In connection with my termination, I will request full payment of my plan balance.  Goldman Sachs will not make any contributions after my separation.",Dec-05
"White House/Cohn, Gary",6,"The Goldman Sachs Group, Inc.","New York, New York","Restricted Partner Compensation Plan (RPCP) -– I am a participant in the RPCP, which is a shareholder- approved plan under which variable compensation is paid to certain employees.  The RPCP provides for a maximum amount of variable compensation determined pursuant to a formula contained in the RPCP, with the Board Compensation Committee retaining the discretion to pay less than the formula amount.",Jan-16
"White House/Cohn, Gary",7,"The Goldman Sachs Group, Inc.","New York, New York","Managing Director Employment Agreement – I am subject to a participating managing director agreement with The Goldman Sachs Group, Inc. that provides, among other things, for confidentiality obligations that survive the termination of my employment.",May-99
"White House/Cohn, Gary",8,"The Goldman Sachs Group, Inc.","New York, New York","Non-compete Agreement - I am subject to an agreement with The Goldman Sachs Group, Inc. precluding me from competing with Goldman Sachs or soliciting its clients for a period of six months from my notice date, and precluding me from soliciting certain Goldman Sachs employees for a period of 12 months from my notice date.",May-99
"White House/Cohn, Gary",9,"The Goldman Sachs Group, Inc.","New York, New York",Shareholders Agreement - As a participating managing director of Goldman Sachs I was subject to a shareholders’ agreement which required that I retain a certain percentage of my Goldman Sachs shares for so long as I remained a participating managing director. The agreement also required that I participate in a voting arrangement with respect to certain of my Goldman Sachs shares whereby such shares were voted in accordance with the majority of the shares voted by all the parties to the agreement. All substantive obligations under the Shareholders’ Agreement terminated when my employment as a Goldman Sachs participating managing director terminated.,May-99
"White House/Cohn, Gary",10,"The Goldman Sachs Group, Inc.","New York, New York","Senior Director Agreement – effective as of the termination of my employment as a participating managing director, I became a Senior Director of Goldman Sachs, a non-employee non-compensated position.  My Senior Director Agreement terminates automatically upon commencement of my employment in the Executive Branch, and does not provide for continuing benefits or obligations thereafter.",Jan-17
"White House/Cohn, Gary",11,"The Goldman Sachs Group, Inc.","New York, New York","Goldman Sachs Investment Fund Interests – Goldman Sachs has established private investment funds to permit its employees (including myself) to participate in the firm’s private equity, hedge fund and other similar activities by investing in or alongside funds and investments that the firm manages or sponsors for independent investors and/or for the firm. I invested in certain of these funds. Certain of the funds provide employee investors with an interest in the override the firm receives for managing the funds, and/or are offered to employee investors on a fee-free or reduced fee basis.  All such funds are disclosed in Part 6 of this form.",Jan-00
"White House/Cohn, Gary",12,"The Goldman Sachs Group, Inc.","New York, New York","401(k) Plan – As a Goldman Sachs employee, I was permitted to contribute a portion of my annual compensation to a 401(k) plan.  Pursuant to the terms of the Goldman Sachs 401(k) plan, I ceased to be eligible to participate as of December 31, 2016, when my employment with Goldman Sachs terminated.  I am permitted to maintain my account under the plan post-employment and direct the investment of my account at my discretion.  In addition, based on my 2016 employee contributions to the plan, I am entitled to a 2016 firm matching contribution in the amount of $10,600, which will be allocated to my account during the first quarter of 2017.",Dec-91
"White House/Cohn, Gary",13,"The Goldman Sachs Group, Inc.","New York, New York","Goldman Sachs Pension Plan - under the terms and conditions of the Goldman Sachs Pension Plan, a defined benefit plan, I am eligible for benefits at the normal retirement age of 65, or early retirement benefits at the age of 55.",Dec-91
"White House/Cohn, Gary",14,"The Goldman Sachs Group, Inc.","New York, New York","Executive Retiree Health Care Plan – as a qualified Goldman Sachs retiree, I am a participant in the Executive Retiree Health Care Plan, which provides primary coverage with a 75% Goldman Sachs subsidy through the last day of the month in which I commence new employment.  As of the first day of the month in which I commence new employment (expected to be 2/1/17), my coverage transitions to secondary coverage with no subsidy.",Jan-17
"White House/Delrahim, Makan",1,Brownstein Hyatt Farber Schreck,"Denver, Colorado","I will continue to participate in this defined contribution plan. As per plan policy, the plan sponsor will make the final 2016 contribution on or about April 2017. Neither I nor the sponsor will make any additional contribution.",Aug-05
"White House/Delrahim, Makan",2,Pepperdine University School of Law,"Malibu, California",I will not serve as an adjunct professor during my government service.,Jan-17
"White House/Delrahim, Makan",3,Brownstein Hyatt Farber Schreck,"Denver, Colorado",I received a bonus for my 2016 services to the firm at the end of calendar year 2016.  I will not receiveany additional bonus.,Jan-17
"White House/Delrahim, Makan",4,Brownstein Hyatt Farber Schreck,"Denver, Colorado","As per firm partnership agreement, I received partnership share distributions during the period of time in which I was a partner with the firm.  I will received no further partnership share distribution. As per firm partnership agreement, the firm repurchased my equity in the firm based on a pre- determined amount calculated as per partnership agreement.",Jan-17
