file,#,employer-or-party,city-state,status-and-terms,date
"White House/Dhillon, Uttam",1,Fitzpatrick Hagood Smith & Uhl LLP,"Dallas, Texas",The law firm may compensate me for past services rendered in the event that it collects on outstanding client invoices. I will consult with the White House Counsel's Office prior to accepting any such payment.,Jan-13
White House/Diaz-Rosillo Carlos,1,Harvard Defined Benefit Pension Plan (value not readily ascertainable). Monthly payments upon retirement,"Cambridge, Massachusetts",,Jul-08
White House/Diaz-Rosillo Carlos,2,Harvard University Defined Contribution Plan,"Cambridge, Massachusetts",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions.,Jul-08
White House/Diaz-Rosillo Carlos,3,Harvard University,"Cambridge, Massachusetts","As an Assistant Dean of Harvard College, I was required to live in Harvard-owned housing at the university's expense.  Upon leaving Harvard, I have paid Harvard market rate for this housing until June 2017.",Jul-08
"White House/Doocey, Sean E",1,"Barbaricum, LLC","Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Feb-13
"White House/Eisenberg, John",1,Kirkland & Ellis LLP,"Washington, District of Columbia","The plan will remain at Kirkland & Ellis LLP.  Neither I nor Kirkland will contribute to this defined contribution plan after my separation.  Please note that a matched $35,000 payment was made right before separation.",Jan-12
"White House/Epshteyn, Boris",1,"TGP Securities, Inc.","New York, New York",Filer will hold passive interest in asset or divest at fair market value pendng OGE guidance.,Feb-17
"White House/Ferre, Helen",1,HAF Media LLC,"Miami, Florida","This LLC has not operated since end of 2015, I have received all client fees and I will not operate this LLC while employed as a member of the federal government.  I filed paperwork with Secretary of State of Florida to close the LLC.",Jan-17
"White House/Ford, Stephen J",1,Freedom Partners Chamber of Commerce,"Arlington, Virginia",I will continue to participate in this defined contribution plan (401(k)). The plan sponsor will not make further contributions after my separation.,Nov-13
"White House/Ford, Stephen J",2,John H. Schnatter,"Anchorage, Kentucky","Pursuant to my employment agreement, I will receive royalties for writing services rendered in 2015 and 2016.",Oct-15
"White House/Gigicos, George",1,"Telion Events, Corp","Boca Raton, Florida","Company has been transferred to my spouse. Although an active company, it will not generate income.",Jan-17
"White House/Goldschmidt, Abe E",1,State of Florida,"Miami-Dade, Florida","Florida Retirement System Investment Plan. Defined Contribution Retirement Plan qualified under Section 401(a) of the Internal Revenue Code. I will continue to participate - I, nor my former employer, will continue to make contributions.",Aug-12
"White House/Gorka, Sebastian",1,Institute of World Politics,"Washington, District of Columbia","Unpaid leave for the duration of my government service. No, my employer will not be making retirement contributions",Jan-17
"White House/Gorka, Sebastian",2,Regnery Publishing,"Washington, District of Columbia","In 2016 I wrote a book which entitles me to semi- annual royalty payments on books sold. (My last check was for $25,000) Additionally I have signed a contract with the same publisher for a second book that once finished and published will see me receive another $40,000",Jul-16
"White House/Gorka, Sebastian",3,Institute of World Politics,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Jan-17
"White House/Greenblatt, Jason",1,Yeshiva University,"New York City, New York","I am no longer teaching at the institution. I have not accepted the institution's offer for me to return for the Spring, 2017 semester.",Jan-15
"White House/Greenblatt, Jason",2,Inspire Conversation LLC,"New Milford, New Jersey",The LLC holds the copyright to the following 3 books.  1. New York City for Families: 5 Boroughs in 7 Days (published August 2015) 2. Israel for Families: An Innovative Guide to Exploring Israel and Enriching Your Experience (published June 2015) 3. Guide to Planning the Perfect Family Vacation (published October 2015),Jun-15
"White House/Greenblatt, Jason",3,The Trump Organization,"New York City, New York",I will not participate in this defined contribution plan after my separation.,Jan-97
"White House/Gribbin, David",1,National Federation of Independent Business,"Washington, District of Columbia",I will continue to participate in this defined benefit plan.,Mar-89
"White House/Gribbin, David",2,Koch Industries,"Washington, District of Columbia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",May-96
"White House/Gribbin, David",3,"HDR, Inc.","Omaha, Nebraska",I will not participate in this defined contribution plan after my separation. All shares of HDR stock in the ESOP plan will be sold upon seperation.,Jan-16
"White House/Grisham, Stephanie",1,Arizona House of Representatives,"Phoenix, Arizona",I will continue to participate in this defined benefit plan.,Jan-13
"White House/Hagin, Joseph",1,Command Consulting Group,"Washington, District of Columbia","Per my former firm's operating agreement, as a result of my resignation I will be paid the value of my capital account in the firm. The firm is also in the process of collecting on a past-due invoice. If the collection is successful I am eleigible for my share of the past-due amount.",Sep-13
"White House/Hagin, Joseph",2,"Fox Factory, Inc","Scotts Valley, California",Upon my resignation from the Board my options were vested and will be paid out in full in future.,Jan-09
"White House/Haley, Vincent",1,American Enterprise Institute,"Washington, District of Columbia",TIAA-CREF Retirement Account from a previous employer (1/2005-8/2008).AEI stopped making contributions to this account when I left AEI's employment. I have not made any contributions to this account since I left AEI.,Jan-05
"White House/Haley, Vincent",2,"Billy Graham Film Project, LLC","Arlington, Virginia","As a producer, I anticipate recieving a fixed producer's fee which will paid at the time the movie concept is financed. I also am eligible to recieve a contingent equity payment based on future revenues of the movie in the event that it is financed and reaches it break-even. I will retain my right to recieve the fixed producers fee and will forefeit my right to recieve contingent equity payments.",Aug-16
"White House/Herndon, Charles C",1,CSRA,"Fairfax, Virginia",I will continue to participate in this defined contribution plan. Neither I nor my former employer has or will make contributions after my separation.,Dec-12
"White House/Herndon, Charles C",2,CSRA,"Fairfax, Virginia",I forfeited my unvested restricted stock upon separation. I have no other restricted stock or stock units.,Jan-17
"White House/Herndon, Charles C",3,Morgan Franklin,"McLean, Virginia",I will continue to participate in this defined contribution plan. Neither I nor my former employer has or will make contributions after my separation.,Mar-05
"White House/Herndon, Charles C",4,"TechCentrics, Inc","Alexandria, Virginia",I have filed paperwork with the Secretary of the State to place this entity into inactive status. I will perform no work for or through this entity while in Government service.,Mar-17
"White House/Hunter, Mallory",1,Republican National Committe,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,May-13
"White House/Jack, Brian",1,American Israel Public Affairs Committee,"Washington, District of Columbia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Sep-11
"White House/Jack, Brian",2,"BTJ Strategies, LLC","Peachtree City, Georgia",This entity has since been dissolved.,Sep-15
"White House/Jarmula, Ryan",1,State of Indiana,"Indianapolis, Indiana",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Jan-13
"White House/Juster, Kenneth",1,Warburg Pincus LLC,"New York, New York","401K Retirement Plan- A contribution of $100,000 was paid in March for 2016. The plan sponsor will not make further contributions after my separation.  I do not intend on leaving this 401K at the plan sponsor.  I intend on rolling over this 401K into an IRA",Oct-10
"White House/Karem, Michael J",1,Pinnacle West,"Phoenix, Arizona",2016 bonus will be paid in March of 2017. This is a incentive reward that takes into account company metrics and personal performance. This bonus covers the calendar year of 2016.,Jan-16
"White House/Karem, Michael J",2,Pinnacle West,"Phoenix, Arizona",My stock will default as I will no longer be an employee of the company. I would have to be an employee of Pinnacle West in March of 2017 to receive stock.,Mar-16
"White House/Katsas, Gregory",1,Jones Day Defined Benefit Pension Plan,"Washington, District of Columbia","I am vested and will receive this benefit upon retirement until one month prior to death.  The benefit will be approximately $28,000 annually.",Oct-92
"White House/Katsas, Gregory",2,Jones Day Partnership Agreement (Capital Account Return),"Washington, District of Columbia","My capital account was returned to me on the date of my withdrawal from the Firm, per its Partnership Agreement.",Nov-09
"White House/Katsas, Gregory",3,Jones Day Partnership Agreement (Bonus),"Washington, District of Columbia","Bonus payment made upon my withdrawal from Jones Day, payable at the discretion of its Managing Partner under the Jones Day partnership agreement.",Jan-17
"White House/Katsas, Gregory",4,Jones Day 401k Defined Contribution Plan,"Washington, District of Columbia",I will continue to participate in this 401k plan.  The plan sponsor will not make further contributions after my separation.,Oct-92
"White House/Katz, Jeremy",1,GCM Grosvenor Defined Contribution Plan (Fidelity 401k),"Chicago, Illinois",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Jul-12
"White House/Kellogg, Joseph K",1,CACI,"Arlington, Virginia",I will not participate in this defined contribution plan after my separation.,Nov-09
"White House/Kellogg, Joseph K",2,Cubic,"San Diego, California",I will not participate in this defined contribution plan after my separation.,Feb-15
"White House/Kelly, Marcia",1,Trinity International University (403(b) Plan),"Santa Ana, California",I will continue to participate in this defined contribution plan until I roll it over into an IRA (intend to do so by May 2017).  The plan sponsor has not made contributions since my separation.,Sep-13
"White House/Kelly, Marcia",2,Mercy Health,"Janesville, Wisconsin",I will continue to participate in this defined contribution plan until I roll it over into an IRA (intend to do so by May 2017). The plan sponsor has not made contributions since my separation.,Jan-10
"White House/Knight, Shahira E",1,Fidelity Investments,"Washington, District of Columbia","I have 2 types of phantom stock. I forfeited all unvested shares.  I have two tranches of vested shares that will be paid in 2017:  (1) Short-term shares are awarded based on job performance and pay out annually.  The shares which vested on 12/31/2016 (reflecting work performed for Fidelity prior to 12/31/2016) will be paid to me in March 2017.  The value of these shares was finalized on 12/31/2016. (2) Long-term shares are awarded based on job performance and are paid out over time according to a vesting schedule.  I have outstanding shares which vested on 12/31/2016 (reflecting work performed for Fidelity prior to 12/31/2016).  The value of these shares is based on Fidelity's earnings as of 12/31/2016.  However, under the long-term share award plan, Fidelity normally reserves the right to apply a ""look-forward event clause"" to reduce the value of these shares if Fidelity's 2017 Q1 NAV experiences a dramatic downturn. The final value of this payment would typically not be calculated until after the end of Q1 on 3/31/2017. To decrease the possibility of a conflict of interest, Fidelity has agreed to accelerate the timing of these payments at a discounted amount that reflects a reduction based on the waiver of the look-forward clause.",Dec-09
"White House/Knight, Shahira E",2,Fidelity Investments,"Boston, Massachusetts",I will continue to participate in this defined contribution plan. Neither I nor my former employer will continue to contribute to the plan after my separation.,Sep-09
"White House/Knight, Shahira E",3,Fidelity Investments,"Washington, District of Columbia",The Retiree Health Reimbursement plan is not an investment account and there are no assets in the account.  The value represents notional credits that accumulate with service toward retiree health benefits.  I did not meet the service requirement to receive any benefits.  The plan will be closed and all notional credits in the account will be forfeited.,Dec-09
"White House/Koh, Grace",1,"Cox Enterprises, Inc.","Atlanta, Georgia",I will not participate in this defined contribution plan after my separation.,Apr-08
"White House/Koh, Grace",2,"Cox Enterprises, Inc.","Atlanta, Georgia",I will receive a monthly pension from the age of 65. The plan sponsor makes no further contributions since my separation in August 2013.,Apr-08
"White House/Korn, Jennifer",1,Republican National Committee,"Washington, DC, District of Columbia",I will continue to participate in this plan. Neither I nor my former employee will continue to contribute.,Jun-14
"White House/Lansing, Gerrit",1,Revv LLC,"Washington, District of Columbia","I am the majority shareholder and a Founding Member of Revv LLC.  I am not employed by Revv LLC. Upon entering government service, I will only be a passive owner of equity interests.  I will have turned over control of my voting rights to a proxy, and Revv LLC will implement a non-promotional policy regarding my service. As a passive owner, I may receive an annual distribution per the terms of the agreement.",Dec-14
"White House/Lansing, Gerrit",2,Greensview LLC,"Washington, District of Columbia",My single-owner LLC consulting practice will be inactive during my appointment and all outstanding client fees will be fixed before I enter government service,Jan-15
"White House/Lansing, Gerrit",3,Republican National Committee,"Washington, District of Columbia",I will separate from employment by the RNC effective upon appointment. No outstanding payments remain. I will separate from employment by the RNC effective [date or “upon appointment”]. No outstanding payments remain,Jun-15
"White House/Liddell, Chris",1,Xero Limited,"Wellington, NZ, Outside U.S.",Options begin to vest February 2017 and would have fully vested February 2020.  AllI unvested options were lost at termination.,Feb-14
"White House/Liddell, Chris",2,"IMG Worldwide, William Morris Endeavor Entertainment (WME)","New York, New York",Restricted Management Units -- Unvested units were forfeited at termination. 401(k) plan -- I will continue to participate in this plan.  The employer will no longer make contributions to this plan after termination.,Jul-14
"White House/Liddell, Chris",3,GM 401(k),"Detroit, Michigan",Was participant in company sponsored 401(k) plan during period of employment.,Dec-09
"White House/Liddell, Chris",4,MICROSOFT 401(K),"Redmond, Washington",Was participant in company sponsored 401(k) plan during period of employment.,Apr-05
"White House/Lira, Matthew",1,Moonshot Strategies LLC,"Arlington, Virginia",I am currently in the process of closing down this business.  It has no active clients and has not generated any income during the reporting period.,Mar-17
"White House/Lotter, Marc E",1,State of Indiana - Public Employees Retirement Fund - Defined Contribution Plan,"Indianapolis, Indiana",I will continue to participate in this Defined Contribution Plan. The plan sponsor will not make further contributions after my separation.,Jan-05
"White House/Marquis, Ashley H.",1,The Glover Park Group,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. Neither I nor my former employer have  or will contribute to this following my seperation.,Aug-14
"White House/Marquis, Ashley H.",2,The ONE Campaign,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. Neither I nor my former employer have  or will contribute to this following my seperation.,Nov-10
"White House/Marshall, Kirk R",1,Booz Allen Hamilton,"McLean, Virginia",I sold it.  Not even sure if I made money on it!,Aug-15
"White House/Marshall, Kirk R",2,Booz Allen Hamilton,"McLean, Virginia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Feb-09
"White House/Mashburn, John K",1,Womble Carlyle Self Employed Retirement Fund,"Winston Salem, North Carolina",401K Retirement Plan - neither I nor my former employer have or can contribute since departure in 2011,Jan-07
"White House/Matich, Nicholas T",1,Bancroft PLLC,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,May-16
"White House/Matich, Nicholas T",2,Kirkland & Ellis LLP,"Washington, District of Columbia","A portion of an already paid retention bonus may be subject to claw back based on my early departure from the firm.  However, my understanding is that the firm does not enforce the claw back provision unless an attorney leaves for a competing firm.",Oct-16
"White House/McGahn, Donald F",1,Jones Day,"Washington, District of Columbia",I will continue to partiipate in this defined contribution plan.  The plan sponsor will not make further contribuitons after my separation.,Jun-14
"White House/McGahn, Donald F",2,National Republican Congressional Committee,"Washington, District of Columbia",I will continue to partiipate in this defined contribution plan. The plan sponsor will not make further contribuitons after my separation.,Jun-99
"White House/McGahn, Donald F",3,Patton Boggs LLP,"Washington, District of Columbia",Contractual obligation owed to Filer consisting of previously due compensation and capital payments.,Jun-14
"White House/McGinley, Bill",1,Jones Day,"Washington, District of Columbia","Pursuant to the partnership agreement, I was repaid from the capital account upon leaving the firm.  The interest was calculated as of the date of withdrawal. The payment was made in lump sum and prior to assuming this position.",Jun-14
"White House/McGinley, Bill",2,Jones Day,"Washington, District of Columbia","Contributions to the Jones Day defined benefit retirement plan were forfeited since I did not vest.  If I return to Jones Day within five years, the contributions to the defined benefit retirement plan will be restored.",Jun-14
"White House/Meeks, Daris",1,Venable LLP 401k,"Washington, District of Columbia",I will continue to participate in the defined contribution plan. The plan sponsor will not make further contributions after I separate.,Nov-14
"White House/Morgan, Matthew",1,Barnes & Thornburg LLP,"Indianapolis, Indiana","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Sep-08
"White House/Munisteri, Stephen P",1,Republican National Committee,"Washington, District of Columbia","Cobra Medical, Dental and Vision insurance",Jan-17
"White House/Navarro, Peter",1,University of California-Irvine,"Irvine, California",Defined Benefit Pension Plan/Monthly Payments Start April 2017,Jul-89
"White House/Navarro, Peter",2,University of California-Irvine,"Irvine, California",Health insurance/UC System pays part of premium,Jan-89
"White House/Navarro, Peter",3,University of California,"Irvine, California",I will continue to participate in this Defined Contribution Plan.  The plan sponsor will not make further contributions after my separation.,Jul-89
"White House/Nevins, Kristan K",1,TransAmerica 401(k),"Washington, District of Columbia","I will not participate in this defined contribution plan, nor will I receive any contributions, after my separation from SBD Advisors.  I plan on rolling this account over to my financial advisor to manage.",Feb-16
"White House/Niceta, Anna C",1,Design Cuisine,"Arlington, Virginia",I will not participate in this defined contribution plan after my separation.,Feb-95
"White House/O'Hara, Joan",1,Wellesley College 403(b) Retirement Plan,"Wellesley, Massachusetts","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jul-00
"White House/O'Hara, Joan",2,University of San Diego Defined Contribution Plan,"San Diego, California","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jul-04
"White House/Olmem, Andrew",1,Venable LLP,"Washington DC, District of Columbia","All payments have been made as of February 27, 2017.  The amounts were for my (fixed) monthly draw and pro-rated earnings through my date of resignation.",Aug-16
"White House/Olmem, Andrew",2,Venable LLP,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Jun-13
"White House/Paoletta, Mark",1,DLA Piper 401k,"Washington, District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor no longer makes contributions.,Jul-12
"White House/Paoletta, Mark",2,Dickstein Shapiro 401k,"Washington, District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor no longer makes contributions.,Jan-07
"White House/Passantino, Stefan",1,Dentons US,"Chicago, Illinois",I will not participate in this defined contribution plan after my separation.,Jul-15
"White House/Passantino, Stefan",2,Dentons US,"Chicago, Illinois","Anticipated repayment of law firm capital contribution of $253,890.00.  This will be a return of my own invested funds and will be repaid to me over the course of 12 months ending April, 2018.  I will not be receiving interest on my contribution.",Jan-17
"White House/Passantino, Stefan",3,Dentons US,"Chicago, Illinois","Prior to my employment with the United States Government, I received payment of my previously calculated $59,644 bonus and salary for January 1, 2017 through January 19, 2017 on January 18, 2017. This bonus amount was calculated by formula pursuant to firm policy and is solely based upon my performance in 2016 and not upon my future employment with the US Government.",Jan-17
"White House/Pavlik, Jennifer",1,State of Indiana,"Indianapolis, Indiana",Continuing Participation in State Government Deferred Compensation Plan,Jan-13
"White House/Pitcock, Joshua",1,Pitcock Consulting LLC,"Washington, District of Columbia",I intend to file inactive status documentation with the District of Columbia in relation to this firm.,Jan-13
"White House/Powell, Dina",1,"The Goldman Sachs Group, Inc.","New York, New York","Restricted Stock Units (RSUs) and Restricted Shares- I currently hold RSUs that were granted to me as part of my compensation for fiscal years 2014, 2015, and 2016. Under the terms of the awards, stock underlying these awards is scheduled to be delivered in 2018-2020. A portion will be delivered in Restricted Shares. I also hold Restricted Shares associated with RSU awards that were granted to me as part of my compensation for fiscal years 2011, 2012, 2013, 2014 and 2015. The restrictions on the Restricted Shares generally remain in place for five years after the RSU grant. The award agreements applicable to these awards provide for accelerated settlement of the RSUs and lifting of the transfer restrictions on the Restricted Shares if I enter into certain types of “conflicted employment.” I expect that the position of Assistant to the President will be viewed by Goldman Sachs as “conflicted employment.”",Jan-12
"White House/Powell, Dina",2,"The Goldman Sachs Group, Inc.","New York, New York","Participating Managing Director Employment Agreement - I am subject to a participating managing director agreement that provides, among other things, for confidentiality, non-competition, and non- solicitation obligations that survive the termination of my employment.",Jan-11
"White House/Powell, Dina",3,"The Goldman Sachs Group, Inc.","New York, New York",Shareholders Agreement - As a participating managing director of Goldman Sachs I am subject to a shareholders’ agreement which requires that I retain a certain percentage of my Goldman Sachs shares for so long as I remained a participating managing director. The agreement also requires that I participate in a voting arrangement with respect to certain of my Goldman Sachs shares whereby such shares are voted in accordance with the majority of the shares voted by all the parties to the agreement. All substantive obligations under the Shareholders’ Agreement will terminate when my employment as a Goldman Sachs participating managing director terminates.,Jan-11
"White House/Powell, Dina",4,"The Goldman Sachs Group, Inc.","New York, New York","Goldman Sachs Investment Fund Interests – I am invested in certain private investment funds established by Goldman Sachs to permit its employees to participate in the firm's private equity, hedge fund and other similar activities by investing in or alongside funds and investments that the firm manages or sponsors for independent investors and/or for the firm.  Certain of the funds provide employee investors with an interest in the override the firm receives for managing the funds, and/or are offered to employee investors on a fee-free or reduced fee basis.  All such funds are disclosed in Part 6 of this form.",Mar-11
"White House/Powell, Dina",5,"The Goldman Sachs Group, Inc.","New York, New York","401(k) Plan – I contributed a portion of my annual compensation to a 401(k) plan. Pursuant to the terms of the plan, I will cease to be eligible to participate in the plan when my employment with Goldman Sachs terminates. At that time, I will be permitted to retain the account and direct the investment of the account at my discretion. In addition, based on my 2016 employee contributions to the plan, I am entitled to a 2016 firm matching contribution in the amount of $10,600, which will be allocated to my account during the first quarter of 2017, and based on my 2017 contributions to the plan, I am entitled to a 2017 firm matching contribution in an amount to be determined, which will be allocated to my account during the first quarter of 2018.",Jun-07
"White House/Powell, Dina",6,"The Goldman Sachs Group, Inc.","New York, New York","Executive Retiree Health Care Plan – On the termination of employment, I will be eligible to participate in the Executive Retiree Health Care Plan. I will be responsible for paying the full cost of such coverage.",Feb-17
"White House/Priebus, Reinhold R",1,Michael Best & Friedrich LLP,"Milwaukee, Wisconsin",Transition Terms. Agreement defining terms of transition out of the law firm.  Payment as a result of the arrangement came in the form of a check and was reported on my 2016 W-2. I also received my 2016 final K-1 returning my capital account contribution pursuant to the partnership agreement. The arrangement is complete.,Nov-16
"White House/Priebus, Reinhold R",2,Republican National Committee (Political Organization),"Washington, District of Columbia","As part of my employment agreement, the RNC paid for my local D.C. housing costs (rent).",Jan-11
"White House/Priebus, Reinhold R",3,Michael Best & Friedrich LLP,"Washington, District of Columbia",I will continue to participate in the 401k defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Sep-98
"White House/Priebus, Reinhold R",4,Michael Best & Friedrich LLP,"Washington, District of Columbia",I will continue to participate in the cash balance plan and the defined benefit plan.,Sep-98
"White House/Roman, Michael A",1,MR&A LLC,"Philadelphia, Pennsylvania",Entity is  inactive. I will not perform any work  for this entity while in service to the United States Government. There are no active contracts. There are no outstanding invoices.,Jan-17
"White House/Schouten, Schuyler",1,Davis Polk & Wardwell LLP,"Washington, District of Columbia","Based on standard practice, I will retain ownership of the assets in my Health Savings Account and my 401(k) account.  The sponsor will not make further contributions.",Jan-17
"White House/Schultz, James D",1,Cozen O'Connor,"Philadelphia, Pennsylvania",I will continue to participate in this defined contribution plan after my separation. Neither I nor my former employer will contribute after I leave.,Nov-14
"White House/Schultz, James D",2,Cozen O'Connor,"Philadelphia, Pennsylvania",Nominal stock ownership of $100.00 repurchased by Cozen O'Connor upon my resignation.,Aug-16
"White House/Schultz, James D",3,Pennsylvania State Employees' Retirement System,"Harrisburg, Pennsylvania",Left this employment in 2014.  Balance will stay in my defined benefit plan account until I retire.,Aug-98
"White House/Shah, Raj",1,Republican National Committee 401(k) Plan,"Washington, District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Sep-15
"White House/Sifakis, George A",1,"Axela Government Relations, LLC","Washington, District of Columbia","Prior to entering Government service, I entered into an agreement to sell my entire interest in Axela Government Relations, LLC. I have no ongoing relationship with this entity.",Jan-17
"White House/Simms, Cindy",1,"CACI, Inc","Alexandria, Virginia",I will continue to participate in this defined contribution plan. The plan sponsor has not and will not make further contributions after my separation.,Oct-11
"White House/Simms, Cindy",2,Townsend Public Affairs,"Newport Beach, California",I will be rolling this into my TSP account. The plan sponsor has not and will not make further contributions after my separation.,Feb-15
"White House/Sims, Cliff",1,Yellowhammer Multimedia,"Birmingham, Alabama","I will receive $30,000 prior to end of employment. This was pre-arranged deferred salary from previous years.",Jan-17
"White House/Sims, Cliff",2,Yellowhammer Strategies,"Birmingham, Alabama",We have transmitted documents to dissolve this entity.,Jan-17
"White House/Spicer, Sean",1,Republican National Committee,"Washington , District of Columbia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Feb-11
"White House/Stepien, Bill",1,State of New Jersey Defined Contribution Plan,"Trenton, New Jersey","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jan-10
"White House/Stepien, Bill",2,State of New Jersey Deferred Compensation Plan,"Trenton, New Jersey",This is a state deferred compensation 457 retirement plan.  I will receive pension payments as distribution upon retirement.  I have reported the underlying funds I selected for this plan in Part 2 (above).,Jan-10
"White House/Thompson, Andrea",1,McChrystal Group 401k State Street S&P 500 Lending Series Fund,"Alexandria, Virginia",I do not intend to continue participation in the defined contribition plan.  The plan sponsor no longer makes contributions since my separation.  I intend to roll this over to my TSP account.,Nov-16
"White House/Walters, Lindsay",1,Republican National Committee,"Washington , District of Columbia",401k. I have not participated in this defined contribution plan after my separation.,Jun-16
"White House/Walters, Lindsay",2,State of Illinois,"Chicago, Illinois",State pension plan. I have not contributed since my seperation.,Jan-15
"White House/Westerhout, Maedeleine",1,Republican National Committee,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. Neither I nor my employer will contribue after my separation.,Aug-14
"White House/Winfree, Paul",1,The Heritage Foundation,"Washington, District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Mar-15
"White House/Worthington, Ross",1,Gingrich Productions,"Arlington, Virginia",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Feb-16